QA_ID,Recruiter_ID,Candidate_ID,Feedback_Score,Category,Comment,Alignment_with_Policy,Coaching_Required,Response_Time_Sec
Q1CO19KKI,RGQO9D4,CD0X0T28U,82.5,Empathy,Improve tone and acknowledgment before solution.,Yes,No,10
QZUPK2YY1,R3CIL6P,CGULDPXL8,82.5,Empathy,Improve tone and acknowledgment before solution.,No,Yes,8
QK7I77VDW,RILR9IM,CRH55GMJ7,72.3,Policy,Missed policy nuance; add the required verification step.,No,Yes,17
QJ4DC6EO5,RVOJX6Q,C3P50Z5G1,73.3,Empathy,Improve tone and acknowledgment before solution.,No,Yes,16
Q994SGBDI,RGQO9D4,CQATB7VNR,97.8,Empathy,Improve tone and acknowledgment before solution.,Yes,No,18
Q9QZA29HA,RRP3YAQ,CQFM8JGYH,86.3,Language,Shorten sentences; check grammar in templates.,Yes,No,19
Q2Y2UNJKS,RKBQMI1,CMFMTYD55,89.6,Policy,Missed policy nuance; add the required verification step.,Yes,No,5
QRNODXBZ4,RKBQMI1,CYAUUN95B,77.2,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,5
QAT1VIQ84,ROD2CCE,CZT3ZFCPR,68.8,Policy,Missed policy nuance; add the required verification step.,No,Yes,12
Q74BKPXIO,RT9XGGL,CJZ247EE7,64.4,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,7
QDBMHTZJQ,R3CIL6P,CO9B5YK24,81.8,Policy,Missed policy nuance; add the required verification step.,Yes,No,13
QAU2TUQCY,RXYNE26,CMXZ4O7LH,82.3,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,11
QQBDC3BTK,R1NKAAB,CITRZHX1N,64.3,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,21
Q2MP3JTKC,RV5J536,CNRBECC54,74.0,Empathy,Improve tone and acknowledgment before solution.,No,Yes,9
Q1ROZXRBC,RDHQQWC,CG41WKMPX,91.2,Policy,Missed policy nuance; add the required verification step.,Yes,No,16
QDTRCGZVF,REU373Y,C9KERSXL8,82.9,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,15
QHVZGWDVN,ROD2CCE,CGRU3O6VC,86.3,Empathy,Improve tone and acknowledgment before solution.,No,Yes,12
QVIPEOAO4,RVOJX6Q,CJMVA3KCL,86.8,Policy,Missed policy nuance; add the required verification step.,Yes,No,8
QOYO3KZU6,RKBQMI1,CVWR7EJDY,81.6,Empathy,Improve tone and acknowledgment before solution.,Yes,No,12
QC7PXAFZJ,ROD2CCE,CV7OEI60D,78.9,Empathy,Improve tone and acknowledgment before solution.,Yes,No,6
QWI9PZ15S,R3CIL6P,CLSS9OAPU,60.3,Empathy,Improve tone and acknowledgment before solution.,No,Yes,16
QXAH3DRCK,ROD2CCE,CEKO45OLT,100.0,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,4
QL4VUT3TZ,RGTYOX0,CB18RTRCW,84.5,Policy,Missed policy nuance; add the required verification step.,Yes,No,17
QF545A9PV,RGTYOX0,CACFZKCAR,63.8,Empathy,Improve tone and acknowledgment before solution.,No,Yes,14
Q2U8NEXV6,R3CIL6P,CTF2MD9GA,76.5,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,Yes,16
QUVKDXP96,RT9XGGL,CHTT2J7Q3,87.2,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,11
QK1CQDV6P,RV5J536,CFHFUN6JT,82.3,Policy,Missed policy nuance; add the required verification step.,Yes,No,11
Q0ZXW5OFK,R3CIL6P,C84TVNEU3,78.8,Policy,Missed policy nuance; add the required verification step.,Yes,No,7
QNIIK0A88,RV5J536,CT0NTKJEL,88.8,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,13
Q1E058FFC,RX70EUX,CMSU53K6S,78.1,Empathy,Improve tone and acknowledgment before solution.,Yes,No,15
QE8OKQ733,R3CIL6P,CFAKEO5FA,78.9,Empathy,Improve tone and acknowledgment before solution.,Yes,No,17
Q51JIS2DW,RABAG5I,CELXQPR99,100.0,Policy,Missed policy nuance; add the required verification step.,Yes,No,13
QFYLCCT48,R6TL5AY,CSR0STL78,84.3,Empathy,Improve tone and acknowledgment before solution.,Yes,No,7
Q7FGCEOL8,RSHG3JO,CVWMNYBIV,79.6,Empathy,Improve tone and acknowledgment before solution.,Yes,No,11
QLUL65Z4E,RJX8UH8,CQHKYAH6D,59.6,Empathy,Improve tone and acknowledgment before solution.,No,Yes,5
QA5UAX556,RV5J536,CYAUUN95B,82.1,Language,Shorten sentences; check grammar in templates.,Yes,No,17
QGH47S5YH,RO60RRW,CTRL1DJER,54.3,Language,Shorten sentences; check grammar in templates.,No,Yes,13
QA5HGPT7T,REU373Y,C1TX49DZI,66.7,Policy,Missed policy nuance; add the required verification step.,No,Yes,10
QG5LLDPX9,RQTPZN2,CQVFW7ELY,75.2,Empathy,Improve tone and acknowledgment before solution.,Yes,Yes,5
QQXZO4BLN,RX70EUX,CY7P30UGU,74.8,Empathy,Improve tone and acknowledgment before solution.,No,Yes,11
QRK0SEQOA,RYZBJPT,C1M4P0DD2,69.0,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,20
QNZ2SICQG,RJX8UH8,CXHQGA42S,78.3,Policy,Missed policy nuance; add the required verification step.,Yes,No,7
Q2DRRHE66,RT9XGGL,CLIKFB7C5,84.8,Language,Shorten sentences; check grammar in templates.,Yes,No,8
QKSLB00XB,RBOEB9D,COW57K9WC,70.4,Policy,Missed policy nuance; add the required verification step.,No,Yes,16
Q6AQK7WHK,RDHQQWC,COI9SEC47,68.6,Empathy,Improve tone and acknowledgment before solution.,No,Yes,9
QI5KR8OYV,RT9XGGL,C00NJA78I,73.7,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,18
QSLV2DFF7,RDHQQWC,CTC2VK9XY,68.3,Language,Shorten sentences; check grammar in templates.,No,Yes,12
QJLVN7DG3,RBOEB9D,CWYEN2WEB,91.8,Empathy,Improve tone and acknowledgment before solution.,Yes,No,16
QK9SA04EU,R1NKAAB,CLJ1GBB5N,84.0,Language,Shorten sentences; check grammar in templates.,Yes,No,19
QTZ4VPXOY,RT9XGGL,C27WWWRPW,70.7,Policy,Missed policy nuance; add the required verification step.,No,Yes,5
QAO7R4DP5,RVLO5D3,C00NJA78I,96.7,Empathy,Improve tone and acknowledgment before solution.,Yes,No,10
QR2OMT1BB,ROD2CCE,C7PF3WZDL,65.9,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,12
QBFB2W7LB,RSHG3JO,CUQ8S7HQF,71.3,Empathy,Improve tone and acknowledgment before solution.,No,Yes,14
QL13K39G4,RT9XGGL,CPNGYIK28,78.8,Policy,Missed policy nuance; add the required verification step.,Yes,No,19
Q46KIUMXN,R3CIL6P,CFEI4Q5XT,73.6,Language,Shorten sentences; check grammar in templates.,No,Yes,6
Q7M4Y9ULZ,RT9XGGL,CNVS00K4N,87.1,Empathy,Improve tone and acknowledgment before solution.,Yes,No,19
QCCX6PDG9,R6TL5AY,CTDYBJZS1,89.1,Policy,Missed policy nuance; add the required verification step.,Yes,No,4
QMAOAUVMF,RO60RRW,C2BGRGLXF,90.6,Language,Shorten sentences; check grammar in templates.,Yes,No,9
QXRZF32PB,RSHG3JO,CUQSUBFIE,74.9,Policy,Missed policy nuance; add the required verification step.,No,Yes,12
QNHA4380H,R1VCYW5,C7P9C0VII,92.5,Policy,Missed policy nuance; add the required verification step.,Yes,No,14
QO4ALGGHN,R6TL5AY,CNT8HFJ5B,74.2,Policy,Missed policy nuance; add the required verification step.,No,Yes,15
Q322DDPCA,ROD2CCE,CEX7Y1J3P,67.9,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,15
QLYPZCRLK,RE2MZO2,CFO4H8VVL,79.0,Policy,Missed policy nuance; add the required verification step.,Yes,No,14
Q7X169JLI,RO60RRW,CQATB7VNR,69.7,Policy,Missed policy nuance; add the required verification step.,No,Yes,9
QY0RNO7DZ,RXYNE26,CI3QDJBR9,93.4,Language,Shorten sentences; check grammar in templates.,Yes,No,8
Q7WPQ8TUX,RGTYOX0,CXU8OKBAN,90.7,Policy,Missed policy nuance; add the required verification step.,No,Yes,17
QVMXV07DZ,RX70EUX,C5COQ2EPF,84.4,Policy,Missed policy nuance; add the required verification step.,Yes,No,15
QVJZSGGAU,RX70EUX,C7U9AWB7Y,73.1,Language,Shorten sentences; check grammar in templates.,No,Yes,5
QI8P5N6YI,REU373Y,C7MMDPRXF,93.2,Language,Shorten sentences; check grammar in templates.,Yes,No,6
QV413OS6Q,R2KT8NL,CIBBN8BND,78.4,Language,Shorten sentences; check grammar in templates.,Yes,No,7
QHVB2A4IJ,RILR9IM,C3WWYE0IS,82.8,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,11
Q62J6QA40,RVOJX6Q,CDD3LJUHB,70.9,Policy,Missed policy nuance; add the required verification step.,No,Yes,9
QBSN93QUW,RILR9IM,CWYQKS8VZ,95.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,7
QBF6JTTK4,RRP3YAQ,CNDVPBUHI,77.9,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,9
QHA0QMJWS,RBOEB9D,CVJJB8D1I,76.0,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,Yes,10
QP2KESTRO,RJX8UH8,CJABFQX2W,94.5,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,4
QZHSE432Q,REU373Y,CSYSAB86V,84.1,Empathy,Improve tone and acknowledgment before solution.,Yes,No,3
QVIY9W264,REU373Y,C7WRPWUSF,86.7,Empathy,Improve tone and acknowledgment before solution.,No,Yes,13
QEPVDIVXD,RKBQMI1,C84TVNEU3,73.4,Policy,Missed policy nuance; add the required verification step.,No,Yes,8
QSEEMJFBU,R3U9XBG,CM568MIV7,58.4,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,19
QEWXPEKHX,RGTYOX0,CTDYBJZS1,80.5,Policy,Missed policy nuance; add the required verification step.,Yes,No,14
QZB544QYA,RDHQQWC,CNWE0I60J,79.1,Empathy,Improve tone and acknowledgment before solution.,Yes,No,19
QR5ML0TCX,R7V5FWU,C1N7XMAYH,74.7,Policy,Missed policy nuance; add the required verification step.,No,Yes,13
QRDVQNGZ6,RDHQQWC,CELYLVYLX,88.4,Policy,Missed policy nuance; add the required verification step.,Yes,No,17
QMLH23JN3,RXYNE26,CV7OEI60D,71.0,Empathy,Improve tone and acknowledgment before solution.,No,Yes,18
QKVUDQSB4,RXYNE26,CKM3EOGRL,60.7,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,12
QV5IMMQP8,REU373Y,C9XOOP3LG,81.9,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,14
QE85UL885,RQTPZN2,CSB45TLDW,93.6,Empathy,Improve tone and acknowledgment before solution.,Yes,No,5
QH349N8D8,R1VCYW5,C35HVUEQY,91.6,Empathy,Improve tone and acknowledgment before solution.,Yes,No,4
Q05B55NUS,RX70EUX,C7KPXEUS2,83.4,Policy,Missed policy nuance; add the required verification step.,Yes,No,8
QOQMZ959K,RJX8UH8,CFPSTISKY,69.8,Empathy,Improve tone and acknowledgment before solution.,No,Yes,14
Q0PFKEFGV,RO60RRW,CUD7V68GO,91.5,Empathy,Improve tone and acknowledgment before solution.,Yes,No,18
Q5F1JFI7M,R1NKAAB,C4G7V85UN,88.3,Empathy,Improve tone and acknowledgment before solution.,Yes,No,10
QG4RIAH3A,RILR9IM,C5IUQFOCG,95.7,Empathy,Improve tone and acknowledgment before solution.,Yes,No,16
QGDPQ14CI,RDHQQWC,CJDLOWJFG,100.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,12
QZPVRUMEJ,RVOJX6Q,CUDD82FKH,90.1,Policy,Missed policy nuance; add the required verification step.,Yes,No,10
QRWP9RWP0,RYZBJPT,CDU637G29,70.6,Policy,Missed policy nuance; add the required verification step.,No,Yes,18
QVIK7BYC0,RDHQQWC,CRVBYTADQ,79.4,Language,Shorten sentences; check grammar in templates.,Yes,No,5
Q9TPCDJ70,RKBQMI1,CT49QCID1,69.0,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,13
QKTYXT581,RVLO5D3,C18IDULPI,85.2,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,8
QRTKG0IDR,R6TL5AY,CXMAVDV1J,80.1,Policy,Missed policy nuance; add the required verification step.,Yes,No,5
QU46TR26A,R1VCYW5,CD5OTFWGJ,70.6,Empathy,Improve tone and acknowledgment before solution.,No,Yes,14
QMDO2KSQI,R3U9XBG,C1ML2Y363,83.7,Empathy,Improve tone and acknowledgment before solution.,No,Yes,10
Q7U471MDO,RBOEB9D,C6BALHRKM,81.5,Policy,Missed policy nuance; add the required verification step.,Yes,No,8
QOW9OEEGO,R3U9XBG,C69QI0CFU,84.3,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,11
Q3QMOUSAE,RXYNE26,CFPSTISKY,79.0,Language,Shorten sentences; check grammar in templates.,Yes,No,17
QVN66MAIJ,R3U9XBG,CX0ZCZ0G4,85.0,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,11
QIW2W87RO,RSHG3JO,CXHQGA42S,88.1,Policy,Missed policy nuance; add the required verification step.,Yes,No,10
QU8888CBU,R1NKAAB,CGT2CC4CW,71.0,Empathy,Improve tone and acknowledgment before solution.,No,Yes,8
Q54Y96CHE,RGTYOX0,C6BALHRKM,89.3,Empathy,Improve tone and acknowledgment before solution.,Yes,No,11
QVOC1WEGK,RVLO5D3,C0IQT1PK2,69.9,Policy,Missed policy nuance; add the required verification step.,No,Yes,19
QCR34RJBP,RYZBJPT,CKXMRGPIE,85.7,Policy,Missed policy nuance; add the required verification step.,Yes,No,18
Q0DL2M3S1,RO60RRW,C94BI3C4K,68.9,Policy,Missed policy nuance; add the required verification step.,No,Yes,7
QOI5RNZXR,RV5J536,C0LZD6IXA,70.7,Policy,Missed policy nuance; add the required verification step.,No,Yes,12
QQPWHISLY,RILR9IM,C0LBO5ETG,90.7,Policy,Missed policy nuance; add the required verification step.,Yes,No,17
QH1UW2KI9,ROD2CCE,CDBLF4HK9,84.8,Policy,Missed policy nuance; add the required verification step.,Yes,No,18
Q8IC3ME8P,RABAG5I,CNAK4MCZH,80.1,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,12
QT4GZ033C,R3CIL6P,CM8LF78LV,91.5,Empathy,Improve tone and acknowledgment before solution.,Yes,No,17
Q8OXXITC5,RX70EUX,CF9RLODLI,72.6,Empathy,Improve tone and acknowledgment before solution.,No,Yes,14
QTOM0NONL,RS6K3JJ,CL9IOC2XD,79.1,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,7
Q642HX3X4,R3CIL6P,CVN8DMEM8,82.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,8
QJZIVOQM6,R6TL5AY,C8SF1R4M9,64.7,Empathy,Improve tone and acknowledgment before solution.,No,Yes,12
QSWC16S6I,RE2MZO2,CO7OUWZ5F,88.9,Language,Shorten sentences; check grammar in templates.,No,Yes,23
QCS7CQXDA,REU373Y,CJIP41K7H,72.0,Policy,Missed policy nuance; add the required verification step.,No,Yes,8
QDM31W5G0,RV5J536,CNOAVU7SQ,83.9,Language,Shorten sentences; check grammar in templates.,Yes,No,3
QCQC1XXZ1,RBOEB9D,CAQ3B5YAM,66.2,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,12
QHU6AE6YI,RS6K3JJ,CCT2X5QYP,71.3,Empathy,Improve tone and acknowledgment before solution.,No,Yes,3
Q9FG0UN0U,RKBQMI1,CEUAURQYS,76.9,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,24
QKTH7630U,R3U9XBG,CPD26Z552,92.1,Empathy,Improve tone and acknowledgment before solution.,Yes,No,18
QCAL3A2JD,RT9XGGL,C6J97GFTB,81.5,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,7
Q8HC68HOY,RKBQMI1,CHTBMTJVQ,82.6,Language,Shorten sentences; check grammar in templates.,Yes,No,9
QFSMCYAA3,R7V5FWU,CBC4C26QL,89.9,Empathy,Improve tone and acknowledgment before solution.,No,Yes,3
QL6RJIG4L,R7V5FWU,CPNMF4LK8,80.0,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,10
QYHHOYSCU,R6TL5AY,CJQTIJI90,82.7,Policy,Missed policy nuance; add the required verification step.,Yes,No,9
QCI1XIC8A,RILR9IM,CDSJRBLOP,73.7,Empathy,Improve tone and acknowledgment before solution.,No,Yes,5
QRX8E0IAN,RS6K3JJ,CT49QCID1,65.1,Empathy,Improve tone and acknowledgment before solution.,No,Yes,8
Q0NT7B0OT,RILR9IM,CMLTEEZ9J,80.9,Language,Shorten sentences; check grammar in templates.,Yes,No,18
QZPG9HDNE,RDHQQWC,CWVH2Y1Q6,71.1,Empathy,Improve tone and acknowledgment before solution.,No,Yes,3
QW0TQT4AD,RE2MZO2,C2I2IOAM8,87.4,Policy,Missed policy nuance; add the required verification step.,Yes,No,17
QWTUSYXXH,RBOEB9D,CKJO9LHEH,65.0,Empathy,Improve tone and acknowledgment before solution.,No,Yes,13
Q3MJ5E6RZ,RS6K3JJ,CGULDPXL8,66.9,Empathy,Improve tone and acknowledgment before solution.,No,Yes,12
Q5RIN71V0,RABAG5I,C8XRJSNWB,91.9,Language,Shorten sentences; check grammar in templates.,No,Yes,11
QOE58SEW5,RXYNE26,C5EJDZIL4,100.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,18
QVJR74XLH,R7V5FWU,CC0WB6A80,86.7,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,18
Q8Y9AKLY4,ROD2CCE,C2G46DQ3R,78.1,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,9
QGDHRW65D,RKBQMI1,CK8W2Q5CE,90.7,Empathy,Improve tone and acknowledgment before solution.,No,Yes,13
QAGT2S0CK,RJX8UH8,C33P6G7KU,73.8,Empathy,Improve tone and acknowledgment before solution.,No,Yes,13
QCWCYHECQ,R1VCYW5,C3EPEU7CO,80.8,Empathy,Improve tone and acknowledgment before solution.,Yes,No,8
QKZ2WJZ9X,R1NKAAB,C8SF1R4M9,77.4,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,17
QHZC8SRM8,RKBQMI1,C6O8UNAVX,82.5,Empathy,Improve tone and acknowledgment before solution.,Yes,No,7
QMFICM8I8,RJX8UH8,CDUMUVZTX,90.1,Empathy,Improve tone and acknowledgment before solution.,Yes,No,5
QAH0JB5SR,RGTYOX0,CK9L324AR,67.0,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,16
QN03T7MRW,RVLO5D3,COO4E4OXU,70.2,Empathy,Improve tone and acknowledgment before solution.,No,Yes,14
QMRY8T4E6,R3CIL6P,CD09PC5GS,93.8,Policy,Missed policy nuance; add the required verification step.,Yes,No,15
QRHCBM0UE,RSHG3JO,C3XA2VW5R,91.9,Policy,Missed policy nuance; add the required verification step.,Yes,No,4
Q77MAPQYF,RYZBJPT,CEUPR3UFN,81.0,Policy,Missed policy nuance; add the required verification step.,No,Yes,15
Q9HA6XYKM,RBOEB9D,CPBHOCLQ8,83.0,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,10
QUH5KKOMV,R6TL5AY,CGHUOPR05,84.0,Policy,Missed policy nuance; add the required verification step.,Yes,No,12
Q0YN8J07E,RILR9IM,CN2FPYZPC,84.7,Empathy,Improve tone and acknowledgment before solution.,Yes,No,18
QEZD26QDH,RO60RRW,CSZVSC65G,68.3,Empathy,Improve tone and acknowledgment before solution.,No,Yes,17
QJ09U6PYZ,R7V5FWU,CJTUDUFU7,86.3,Empathy,Improve tone and acknowledgment before solution.,Yes,No,23
QW24XARHA,RILR9IM,C6UZ57Y2Q,91.4,Policy,Missed policy nuance; add the required verification step.,Yes,No,9
Q4VB0ZWKP,RKBQMI1,CYMQZP3T9,93.4,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,15
QJD4SU8ND,RBOEB9D,CCVGXOPY1,78.8,Language,Shorten sentences; check grammar in templates.,Yes,No,6
QYAANN267,R2KT8NL,CK9IBU9D4,94.9,Empathy,Improve tone and acknowledgment before solution.,Yes,No,10
QY73PHENX,RQTPZN2,C80WMAEKB,95.5,Policy,Missed policy nuance; add the required verification step.,Yes,No,16
QR27QXRW8,RX70EUX,C2BGRGLXF,76.6,Empathy,Improve tone and acknowledgment before solution.,Yes,Yes,10
QEZ0W4EA4,RVLO5D3,CPD340WOT,86.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,4
QXMBS0O4Z,RO60RRW,CG58985QG,79.9,Policy,Missed policy nuance; add the required verification step.,Yes,No,9
QYEJSNHCA,RVLO5D3,CNSBF1MVU,82.6,Empathy,Improve tone and acknowledgment before solution.,No,Yes,9
QTH5SBJT3,RABAG5I,C2XA9A9BS,81.3,Policy,Missed policy nuance; add the required verification step.,Yes,No,16
QVT8N1AP6,R1VCYW5,CT2Q4TJIL,73.9,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,9
QFS1XAAV7,RRP3YAQ,CE50NZABS,82.8,Empathy,Improve tone and acknowledgment before solution.,Yes,No,10
QASW53COC,R3U9XBG,CEJT55GYD,71.6,Language,Shorten sentences; check grammar in templates.,No,Yes,5
Q22TLFDRO,R3CIL6P,CS18R594Q,80.7,Policy,Missed policy nuance; add the required verification step.,Yes,No,14
QY221PUN6,R3CIL6P,CLNCQ6OXG,63.0,Language,Shorten sentences; check grammar in templates.,No,Yes,9
QNNA2X9KO,RBOEB9D,C5RBS69OF,57.2,Empathy,Improve tone and acknowledgment before solution.,No,Yes,14
QLRETDJWA,RRP3YAQ,CWYEN2WEB,92.1,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,13
Q2YQ1IONU,R3CIL6P,CD0X0T28U,78.5,Empathy,Improve tone and acknowledgment before solution.,Yes,No,17
QHPW6DF4L,R3U9XBG,CGW3K0DZV,83.0,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,3
QN476Q1B7,R3CIL6P,CMGUX28CI,80.2,Language,Shorten sentences; check grammar in templates.,No,Yes,17
QXHBXYE07,RBOEB9D,CB86SN0WZ,77.1,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,6
QPV8KL28O,RVOJX6Q,CIJEKL1K5,86.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,9
QIZPGIY2L,RILR9IM,CL3OLT1J7,100.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,17
Q0TREUDLI,RJX8UH8,CSK87RAVT,69.8,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,10
QXIJ4GS23,R3CIL6P,CT49QCID1,75.4,Empathy,Improve tone and acknowledgment before solution.,Yes,Yes,7
QIIYP79PJ,RX70EUX,C7PJ9DRSR,85.2,Policy,Missed policy nuance; add the required verification step.,Yes,No,18
QJ18619FH,RKBQMI1,CO9OH5WUP,96.0,Policy,Missed policy nuance; add the required verification step.,Yes,No,5
QHILWFR78,RX70EUX,CC0AG9P0R,65.3,Policy,Missed policy nuance; add the required verification step.,No,Yes,6
QI1Z3ZBPO,RGTYOX0,C660H8TTZ,82.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,4
Q0JUE7GI7,ROD2CCE,C0QV7S0DH,61.4,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,17
QWAC2GZAJ,RXYNE26,C7SUGI3KV,86.6,Policy,Missed policy nuance; add the required verification step.,Yes,No,15
Q3N491QPN,RVOJX6Q,C18UV0JLW,80.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,9
QOQALN2JX,RGTYOX0,CGSUWOOY0,98.2,Language,Shorten sentences; check grammar in templates.,Yes,No,19
Q6MLCMHMH,RVLO5D3,CX5W8EMED,85.2,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,12
QO51V4X32,RJX8UH8,CF94IE39G,76.2,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,10
QXX593E2S,RQTPZN2,CODZEGF59,89.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,8
QZ9D9M8BW,RYZBJPT,CO9OH5WUP,69.7,Language,Shorten sentences; check grammar in templates.,No,Yes,8
QU81X3Q72,RV5J536,CTVH47OD4,91.6,Empathy,Improve tone and acknowledgment before solution.,Yes,No,12
QZ2FQMO7U,RSHG3JO,CNEO7J6JG,88.2,Policy,Missed policy nuance; add the required verification step.,Yes,No,12
QGACRZH7F,RBOEB9D,CPNMF4LK8,70.7,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,20
QMOM5S7J1,ROD2CCE,CV7OEI60D,77.4,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,6
QSLY0FSUJ,RQTPZN2,C6DLFLTKC,84.9,Empathy,Improve tone and acknowledgment before solution.,Yes,No,15
QYJ3WH95G,RQTPZN2,CPD340WOT,66.9,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,11
QIM5M1D8W,R1NKAAB,C2GQWMAC7,82.0,Language,Shorten sentences; check grammar in templates.,Yes,No,10
QID41S30G,RKBQMI1,CJ2JZ2Q0J,89.9,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,8
QHKUAZPS0,RQTPZN2,CVWMNYBIV,53.6,Policy,Missed policy nuance; add the required verification step.,No,Yes,14
QCIK60GZA,RQTPZN2,C0KBM7225,85.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,15
Q2T7EZWJO,RKBQMI1,CMKRH9GRS,67.3,Empathy,Improve tone and acknowledgment before solution.,No,Yes,12
QEP9O3QUB,RBOEB9D,CKI3FB48I,86.3,Policy,Missed policy nuance; add the required verification step.,Yes,No,7
QQ27A06U8,RBOEB9D,C7MC2XWB1,100.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,18
Q703UPK3X,R1NKAAB,C5EJDZIL4,74.5,Empathy,Improve tone and acknowledgment before solution.,No,Yes,7
Q7B4WCIC7,RJX8UH8,C6BALHRKM,68.3,Empathy,Improve tone and acknowledgment before solution.,No,Yes,19
Q8DRUE58I,R3CIL6P,CB0NSJNLB,86.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,18
Q277WUQXC,RKBQMI1,C6NI7Y1QQ,83.9,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,8
Q5EI1CON7,REU373Y,CNABMQ2E4,77.8,Empathy,Improve tone and acknowledgment before solution.,Yes,Yes,3
QEG79V36M,R1NKAAB,CB18RTRCW,90.3,Empathy,Improve tone and acknowledgment before solution.,Yes,No,10
QQDC7VOX0,ROD2CCE,C69IGZKHB,85.4,Empathy,Improve tone and acknowledgment before solution.,Yes,No,21
QJRUCGCYZ,ROD2CCE,CC0AG9P0R,87.1,Empathy,Improve tone and acknowledgment before solution.,No,Yes,15
QPM30KXOR,R1NKAAB,CXK0PELT2,87.5,Empathy,Improve tone and acknowledgment before solution.,Yes,No,15
QIQ7DBKPE,RBOEB9D,C7EV2IJR5,91.5,Policy,Missed policy nuance; add the required verification step.,Yes,No,19
QGGHDQ1QE,R6TL5AY,C5LT7TY69,89.3,Empathy,Improve tone and acknowledgment before solution.,Yes,No,3
QIPQHNRZR,ROD2CCE,C90HVWXAK,94.7,Language,Shorten sentences; check grammar in templates.,Yes,No,20
Q3UW5EI81,RRP3YAQ,CMXZ4O7LH,80.8,Empathy,Improve tone and acknowledgment before solution.,Yes,No,16
QZ7TDCHSH,RGTYOX0,CD8IXYR5D,84.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,9
QKU5G63JY,R2KT8NL,CPBY1KMIO,72.2,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,10
QD3CNU71G,RKBQMI1,CMADD10ZQ,64.2,Policy,Missed policy nuance; add the required verification step.,No,Yes,10
